Mean,Mean,Mean,Mean
106.5977,40.7622,36.026,30.1942
24.4204,41.3987,36.4122,30.3884
23.8001,40.489,36.8048,30.6702
24.614,41.05,35.5589,30.4247
24.0171,40.7085,36.3256,30.6206
24.1881,40.8285,36.198,29.8119
23.9636,40.606,35.7224,30.6005
24.1898,40.9441,35.9771,30.9311
23.8938,41.1138,35.7675,30.7932
24.3297,41.2218,35.6821,30.034
23.8531,41.5133,35.4738,29.5915
23.492,40.8098,35.2817,30.5731
23.7541,41.0585,35.4663,30.0381
24.3538,41.342,35.391,30.4516
24.3443,41.1497,35.3841,30.3887
24.3321,41.143,35.181,29.5615
24.1565,41.2964,35.0672,30.0013
24.1933,41.2319,35.3311,30.0441
24.3747,40.6369,35.1313,29.5614
23.8258,40.7936,34.472,30.5072
24.0131,41.193,34.8731,30.2574
24.6732,41.505,34.992,29.8859
23.8459,40.9269,34.9749,29.7016
23.8859,40.6192,34.7967,29.1906
24.5226,40.7376,34.2739,30.2278
24.0024,41.2162,34.7921,29.1213
24.2326,40.6686,34.4443,29.6419
23.6256,40.8025,34.8912,29.755
24.0371,40.129,34.5857,29.842
23.5902,40.6296,34.5705,29.7873
23.6849,40.0717,35.1344,29.4239
24.1206,40.6379,34.3361,29.7548
23.5942,40.1125,34.2015,29.8737
24.4831,39.9724,34.255,29.7677
23.936,40.1678,34.3416,29.3393
23.7673,40.3108,34.0322,29.525
24.2767,39.9524,33.5885,29.885
23.4361,40.8252,33.9928,28.8097
23.3432,40.5466,34.6494,29.4216
23.5781,41.1861,34.6933,29.6615
23.7147,40.3429,33.6721,29.328
23.7485,40.3491,34.2824,29.1443
23.2648,40.0926,33.9749,29.1293
23.5115,40.309,33.8609,29.3282
23.7332,39.4532,33.9793,29.3885
23.9446,39.8229,34.0951,29.5479
23.57,39.9258,34.1498,29.71
23.6705,39.6221,34.065,29.2921
23.584,40.2291,34.087,29.6489
23.9563,39.1542,34.5728,29.793
23.3523,39.5797,34.5445,29.348
23.6515,40.4599,33.8176,24.7285
23.4046,39.3027,31.7399,30.081
23.3342,39.6915,33.3826,27.8892
23.6722,36.2845,33.6122,26.3615
21.4487,36.3365,34.1019,27.1015
21.6854,30.9033,32.5187,24.9561
21.2247,32.6762,32.8506,22.6961
21.0338,39.1027,33.2671,28.8787
21.2922,39.489,32.9977,28.5994
22.3812,36.5513,33.8126,28.4763
23.3478,35.6883,34.1732,28.7137
23.3219,39.5164,33.1849,29.0845
23.4838,39.6895,33.3629,28.5552
22.9306,39.3066,33.4055,28.7543
24.8005,39.2517,33.0469,28.363
23.3397,39.6791,33.1061,28.3456
22.4607,39.388,32.7829,28.5762
22.7413,39.4384,33.0519,28.9043
24.3607,39.114,33.6129,28.9624
23.2616,39.7117,33.4615,28.4984
23.8429,39.2251,33.1084,28.8341
23.3252,39.7522,33.035,28.7043
23.0303,39.3575,33.2736,29.0002
23.8696,39.6752,32.9976,29.1079
23.2668,40.1663,32.7462,28.7715
23.0383,39.8226,32.8362,28.697
23.0546,39.1976,33.2071,28.6896
23.6622,40.1408,32.5858,28.7806
23.1098,39.7442,32.7925,28.8071
22.6792,39.8197,33.1888,29.1691
23.7479,39.8859,32.868,29.2716
23.6063,39.2635,33.2784,29.0501
23.3625,39.7074,33.2404,28.6608
23.5342,38.8279,32.9186,28.9379
23.5493,39.0327,32.6581,28.7967
23.7629,39.0671,32.843,28.1842
23.4355,39.4506,33.0947,28.5657
23.2183,39.3905,33.3101,28.5216
23.4537,38.6702,33.564,28.8463
22.9595,39.6808,33.2951,28.551
22.8597,39.1691,33.0072,27.8312
23.2277,39.1258,33.2169,28.3637
23.4638,39.36,32.9845,28.5125
23.1558,39.5851,32.728,28.4825
23.3941,39.3135,32.7809,28.2655
22.9202,39.6992,32.6249,28.6228
23.0316,39.7247,33.0966,28.6185
23.2551,39.1576,32.75,28.5194
23.2411,39.5224,32.8685,28.7331
23.3677,38.9819,32.3658,28.6862
23.1412,39.1475,32.4457,28.3642
23.3215,39.1264,32.3667,28.4753
23.0954,39.0071,32.4614,28.6177
22.7428,39.267,32.4472,28.5725
22.8527,38.7617,32.6488,28.4297
23.151,38.8751,32.8077,28.542
22.9305,38.7685,32.0133,29.2597
22.8329,39.0607,32.3399,28.7198
23.2547,38.39,32.1329,28.8207
23.1714,39.0849,32.571,28.3053
23.0912,38.6968,32.4705,28.2656
23.2152,38.8173,32.4966,27.9368
23.32,39.1931,32.8237,28.1598
22.9093,39.3342,32.9844,28.2989
22.4795,39.2931,32.7042,28.2428
22.4877,39.2253,32.4208,28.4061
22.8097,39.3466,32.7013,28.5307
22.889,39.1967,32.069,27.9309
23.114,38.768,31.7578,28.1156
22.3201,38.9779,32.0319,28.6501
22.7669,38.5734,32.6013,28.1109
22.8254,38.9121,32.6496,28.7256
22.6003,38.9685,32.6067,28.3865
22.9418,38.9548,32.5877,29.0503
22.4096,39.2449,32.46,28.3089
22.0322,39.2025,32.4962,28.4608
22.6206,39.0176,32.7451,28.0737
22.9949,38.8957,32.2279,28.1106
22.9395,38.7295,32.61,28.2569
22.5757,38.9825,32.5529,27.4023
22.6817,38.6206,32.3738,28.1238
22.9004,39.1167,32.7804,27.6925
22.7891,38.9551,31.9871,28.0717
22.8635,38.3366,31.9122,28.3198
22.7614,38.1222,32.6622,27.9031
22.7243,38.0623,32.4062,28.305
22.9881,38.858,32.1366,28.4391
22.3401,38.2693,32.3081,28.6582
22.7589,38.8788,32.2777,28.4695
22.4443,38.9458,32.5105,28.5061
22.7194,38.2969,32.3295,28.5561
22.9733,38.3925,32.7012,28.3151
22.4892,38.6593,32.7528,27.7674
22.2718,38.7144,32.0631,28.2112
22.5574,38.16,32.1495,28.9465
22.883,38.6554,32.0646,28.0773
22.5384,38.6271,31.3114,27.9125
23.1399,38.2629,32.1111,28.4099
21.9402,38.3112,32.515,28.4094
22.4377,38.7202,32.0799,28.351
22.6931,37.8807,31.9993,28.1429
22.325,38.7209,32.0167,28.1468
23.0492,38.1385,32.3558,28.1865
22.6757,38.6972,32.2081,28.253
22.5046,38.4726,31.8415,27.5541
22.9247,38.3831,31.6151,28.3675
22.7861,38.2099,32.335,27.6917
22.4456,38.1994,32.2816,27.5544
22.7747,38.0242,31.9715,27.9316
23.037,37.8355,32.3166,27.8869
22.9665,38.2861,32.1935,27.8024
22.5195,38.0065,32.1568,27.8105
22.8541,37.8836,32.1379,28.0843
22.9162,37.9292,32.1917,28.1048
22.8778,38.2459,31.531,27.8024
22.4421,37.9138,31.6997,27.8478
22.8244,38.3689,31.6904,28.2442
23.1885,38.5963,31.9384,27.7915
23.2154,38.2562,32.3258,28.0941
23.0026,38.7376,32.2396,27.9183
22.8439,37.8102,31.6134,28.3588
23.2312,37.4902,31.7759,28.3919
23.1162,38.1917,32.0293,28.0824
22.7942,38.2346,31.9553,28.2314
23.1391,38.2786,32.3272,27.9693
22.7531,38.365,32.145,28.2714
22.766,38.6509,32.3723,28.0073
23.1738,37.9647,31.6059,28.4894
22.7357,37.5341,32.155,28.4019
22.9696,37.8807,32.3148,28.2986
22.7275,38.3199,32.3925,28.3569
22.3676,38.7996,31.9472,28.1892
22.4769,37.9941,32.4638,28.3683
22.6713,38.7586,31.8466,27.939
22.7074,38.4243,32.808,28.0747
22.789,38.1017,31.91,27.6745
22.5243,38.2705,32.1816,27.6369
22.7164,37.87,31.8039,28.7402
23.0901,37.7199,32.1693,28.1379
22.2594,37.8454,32.1559,28.2429
22.2959,38.2564,32.3691,28.6897
22.8293,37.7337,31.9328,28.1953
22.5118,37.7948,31.8525,28.1643
22.761,38.3952,31.9959,28.3056
22.6123,37.1456,31.4778,28.4425
22.7953,37.6794,32.0076,28.204
22.6623,38.3775,31.7439,27.8799
22.7007,37.6056,32.0583,27.6428
22.6299,37.8664,31.9913,28.2247
22.409,37.6872,31.6528,28.0306
22.9595,37.4149,31.8294,27.6879
22.8733,37.7976,32.4129,27.9668
22.2382,38.3396,32.3115,28.3228
22.7834,37.5246,32.1144,27.9565
22.6374,38.4163,31.7374,28.5722
22.9785,38.1845,32.3962,27.6802
22.5275,37.7711,32.2151,28.0968
22.0236,37.6032,32.1166,27.9802
22.1449,38.2303,31.6719,28.5468
22.4324,37.5242,31.6895,27.9707
22.4263,37.3923,31.6548,27.9708
22.4441,38.1441,31.7188,27.8641
22.2507,37.9981,31.7717,27.7695
22.6208,37.5733,31.5887,28.6878
21.9046,37.3831,32.0153,28.5828
23.0791,38.1726,31.2132,28.1442
22.3921,37.9961,31.3225,28.2103
22.2437,37.6052,32.1214,27.5301
21.7578,37.6969,31.4914,27.9772
21.9775,37.9443,31.5884,28.1387
22.444,38.0427,31.0887,28.0011
22.0905,37.9615,31.4996,27.9052
22.5672,37.4588,32.0221,27.8064
22.378,37.6953,31.3767,28.1489
22.4557,37.346,31.33,27.9166
22.0394,37.9699,32.1677,28.0057
22.8434,38.1709,31.6566,28.0156
22.8455,38.0981,32.0414,27.4477
22.4481,38.2954,31.9667,28.4181
22.1766,37.7127,31.4016,28.2012
22.7828,37.7586,31.8816,28.3505
22.5805,37.5375,31.5756,27.8439
22.6698,38.3662,31.8981,27.6739
22.3727,37.4102,31.9519,28.4604
22.3725,37.4965,32.1099,28.2059
22.9615,37.6259,31.5042,28.2787
22.1377,37.804,31.4743,28.8263
23.0491,38.1571,31.3733,27.829
22.3671,37.7904,31.3545,28.1149
22.4881,37.7689,32.0228,28.4744
22.349,37.5369,31.23,28.1778
22.1765,37.9212,31.0138,28.2412
21.9947,37.903,31.3561,28.3986
22.3159,37.6807,31.9322,28.7387
22.0311,37.7943,31.4242,28.0208
22.1911,37.7933,31.2718,28.2969
22.4186,37.6536,31.1143,28.1626
22.4337,37.7097,31.6175,28.283
22.3641,37.6323,31.1345,27.9688
21.9679,37.7821,31.268,28.3988
22.1008,37.3852,31.5616,28.1837
22.1987,37.7851,31.383,28.6565
22.554,37.4242,31.5577,28.691
22.3491,37.727,31.5729,28.2172
22.2076,38.0023,31.9562,28.087
22.6984,38.1997,31.5979,28.0651
22.4141,37.2841,30.9308,28.664
22.7634,37.3126,31.7364,28.0332
22.0174,37.6538,31.4657,28.6176
21.9509,37.967,31.4938,29.0451
22.2439,37.4026,31.0786,29.2004
22.653,37.9783,31.1079,28.8384
21.3773,37.7496,30.7718,29.6493
22.0332,37.6376,31.4644,30.1934
22.4757,37.3566,30.9563,30.812
22.4881,37.5999,30.9417,31.5071
22.6907,37.6318,31.4002,32.1549
22.8994,37.7601,30.9315,32.8704
22.7697,37.6055,30.6541,33.2657
22.5189,37.6168,31.0589,33.9646
22.1877,37.2013,30.7295,35.3433
22.3943,36.8815,30.7994,34.8098
22.1985,37.7761,30.4253,37.3903
22.2031,37.5693,30.9178,38.8523
22.1526,37.4378,30.6198,40.6187
22.6784,37.5519,30.9509,42.6013
22.0809,37.7803,31.1985,43.7888
21.7202,37.5075,30.9825,44.757
21.7796,37.6037,30.5926,45.7419
21.9493,37.2204,31.2767,46.1455
21.4619,37.6584,30.9511,45.9448
21.8898,37.1331,31.3837,46.7044
21.4404,37.8556,31.3919,46.7162
21.7227,37.3448,31.2533,47.3734
21.6226,37.3595,31.0928,47.306
21.5476,37.8204,30.7881,47.1096
21.5825,37.8153,31.5305,46.5765
22.405,37.5154,31.1579,47.1671
21.6809,37.1001,30.8177,47.6582
21.7873,37.7062,30.9043,47.3434
21.9942,37.6121,31.1356,47.3299
22.2171,37.5085,30.8844,47.4707
22.1721,37.4701,31.0082,46.7527
22.1033,38.2787,30.8979,47.7311
22.2606,37.8689,30.7599,46.657
22.3426,37.4338,30.9049,47.1663
22.0878,37.919,31.3923,47.0796
22.244,38.1234,31.192,47.797
21.8023,36.9807,31.2411,47.4307
21.353,37.4244,31.1844,46.5201
22.1195,37.4569,31.0097,47.123
22.4766,37.1174,31.2223,46.9722
22.9182,37.913,30.7776,47.0606
22.6875,37.381,31.7527,46.9471
23.0539,37.6662,31.2031,47.5339
22.6404,37.8409,31.4143,46.7821
22.7232,37.7131,31.01,47.0841
23.1646,37.5299,31.0652,47.3309
23.3165,37.632,31.0247,47.1956
23.5419,37.4581,31.626,47.5445
24.2094,37.8872,32.2906,47.4638
24.5914,37.2762,32.1978,47.3003
26.2083,37.4367,31.55,47.4362
28.7488,37.5795,31.528,47.6211
32.9995,37.7099,31.4914,47.4148
34.3471,38.3636,31.3629,47.7806
38.3426,37.512,31.3514,47.2429
40.0759,37.8438,30.8376,47.5993
40.4775,37.9401,31.9923,47.5294
41.3636,37.543,31.6581,47.5024
41.5391,37.5986,31.3747,46.8597
41.8618,38.2393,31.6353,47.2158
41.9436,37.7567,33.662,47.0561
42.3324,37.7947,32.1425,47.2133
43.0083,37.9358,31.7869,47.1607
42.8037,37.7123,32.6518,47.2469
42.6744,37.4177,32.7806,46.8467
42.4053,37.8974,32.5164,46.8152
42.7335,37.7498,32.3282,47.2289
43.8022,37.6253,33.2127,46.6435
43.1852,37.5912,32.8134,47.1985
43.5377,37.5583,32.572,47.1786
43.1182,37.8585,32.6976,47.4327
42.8508,38.2998,32.1738,47.4262
43.4861,37.8174,32.3649,47.5668
43.3825,37.8981,32.7616,48.0379
43.6923,38.0961,32.6657,47.8091
43.4674,37.9192,32.7371,47.1755
43.0159,37.8869,33.1284,46.9227
42.9603,37.4405,32.7391,47.8334
43.4766,37.8953,32.391,47.3194
42.7619,37.9459,32.9006,47.0078
43.1046,38.2601,33.1474,47.1849
43.0912,37.7404,33.0067,47.3305
42.8804,38.4201,33.2699,46.9505
43.4548,38.2433,32.9789,46.81
43.3609,37.8461,32.7425,47.4101
42.8702,38.3289,32.6986,47.2729
43.353,38.7569,33.1233,47.3215
43.6276,38.4809,33.0178,47.7631
43.4836,39.0055,32.6778,47.1694
43.2259,38.9459,32.8059,46.6594
43.7433,39.4576,32.8348,46.9405
43.4342,38.9553,32.8572,47.8261
43.5632,39.2338,33.011,47.3366
43.7501,38.9881,33.014,47.5776
43.9247,39.4991,33.5496,47.5301
43.3182,39.8556,33.7918,47.0393
43.4544,39.7867,33.878,46.9125
44.1571,39.298,33.7457,46.7135
43.9052,39.7483,34.3849,46.9885
43.4658,39.5672,34.8222,47.3369
43.3755,39.9972,34.7707,47.1165
43.4383,39.431,35.3282,46.9111
44.1919,39.1957,35.6854,46.6937
43.2307,39.4364,35.7325,47.1738
43.1118,40.2131,35.5576,47.0035
43.3494,39.2058,36.2912,46.6292
42.9688,39.6508,36.4106,46.8994
43.5446,39.7129,36.5847,46.9215
43.9808,39.8854,37.9979,47.237
43.8452,39.8717,38.8355,47.0165
